INFO 2024-09-07 20:45:08,128 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/forms/renderers.py first seen with mtime 1721970293.657088
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/urllib3/util/ssl_.py first seen with mtime 1723270972.3085248
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/crispy_forms/base.py first seen with mtime 1722303865.0887895
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1721970293.0751958
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/data/alt_format_94.py first seen with mtime 1722277845.9102874
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/contrib/messages/apps.py first seen with mtime 1721970293.354144
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/models/functions/__init__.py first seen with mtime 1721970293.6480896
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/data/alt_format_81.py first seen with mtime 1722277845.9092875
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/geodata/data27.py first seen with mtime 1722277846.072268
DEBUG 2024-09-07 20:45:08,575 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/tablib/utils.py first seen with mtime 1723011393.3116794
DEBUG 2024-09-07 20:45:08,575 autoreload File /home/ubuntu/3CX/cdr/cdr3cx/views.py first seen with mtime 1725707866.3121314
DEBUG 2024-09-07 20:45:08,575 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1721970293.586101
DEBUG 2024-09-07 20:45:08,575 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/data/alt_format_359.py first seen with mtime 1722277845.9012885
DEBUG 2024-09-07 20:45:08,575 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/utils/asyncio.py first seen with mtime 1721970293.6960807
DEBUG 2024-09-07 20:45:08,575 autoreload File /usr/lib/python3.12/asyncio/mixins.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,575 autoreload File /usr/lib/python3.12/email/parser.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,575 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/urllib3/util/url.py first seen with mtime 1723270972.3095248
DEBUG 2024-09-07 20:45:08,575 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/psycopg2/_range.py first seen with mtime 1721993886.5795035
DEBUG 2024-09-07 20:45:08,575 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/backends/base/validation.py first seen with mtime 1721970293.6200948
DEBUG 2024-09-07 20:45:08,575 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/backends/base/creation.py first seen with mtime 1721970293.619095
DEBUG 2024-09-07 20:45:08,575 autoreload File /home/ubuntu/3CX/cdr/accounts/admin.py first seen with mtime 1723013330.3416812
DEBUG 2024-09-07 20:45:08,575 autoreload File /usr/lib/python3.12/contextvars.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,575 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/crispy_forms/templatetags/crispy_forms_tags.py first seen with mtime 1722303865.092789
DEBUG 2024-09-07 20:45:08,576 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1721970293.5851014
DEBUG 2024-09-07 20:45:08,576 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/utils/version.py first seen with mtime 1721970293.705079
DEBUG 2024-09-07 20:45:08,576 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/data/alt_format_55.py first seen with mtime 1722277845.905288
DEBUG 2024-09-07 20:45:08,576 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/files/storage/filesystem.py first seen with mtime 1721970293.6000986
DEBUG 2024-09-07 20:45:08,576 autoreload File /usr/lib/python3.12/graphlib.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,576 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/import_export/templatetags/import_export_tags.py first seen with mtime 1723011393.4796712
DEBUG 2024-09-07 20:45:08,576 autoreload File /usr/lib/python3.12/importlib/_abc.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,576 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/charset_normalizer/constant.py first seen with mtime 1723270972.60651
DEBUG 2024-09-07 20:45:08,576 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/sqlparse/__init__.py first seen with mtime 1721970292.3983212
DEBUG 2024-09-07 20:45:08,576 autoreload File /home/ubuntu/3CX/cdr/cdr/urls.py first seen with mtime 1725727005.3899972
DEBUG 2024-09-07 20:45:08,576 autoreload File /usr/lib/python3.12/collections/__init__.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,576 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/files/storage/base.py first seen with mtime 1721970293.6000986
DEBUG 2024-09-07 20:45:08,576 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/requests/cookies.py first seen with mtime 1723270972.6965055
DEBUG 2024-09-07 20:45:08,576 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/models/sql/where.py first seen with mtime 1721970293.6530888
DEBUG 2024-09-07 20:45:08,577 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/template/smartif.py first seen with mtime 1721970293.6860826
DEBUG 2024-09-07 20:45:08,577 autoreload File /usr/lib/python3.12/wsgiref/util.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,577 autoreload File /home/ubuntu/3CX/cdr/manage.py first seen with mtime 1721970381.3238516
DEBUG 2024-09-07 20:45:08,577 autoreload File /usr/lib/python3.12/asyncio/exceptions.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,577 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/backends/base/features.py first seen with mtime 1721970293.619095
DEBUG 2024-09-07 20:45:08,577 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/template/autoreload.py first seen with mtime 1721970293.6820834
DEBUG 2024-09-07 20:45:08,577 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/import_export/signals.py first seen with mtime 1723011393.4596722
DEBUG 2024-09-07 20:45:08,577 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/middleware/common.py first seen with mtime 1721970293.6810837
DEBUG 2024-09-07 20:45:08,577 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/core/files/uploadhandler.py first seen with mtime 1721970293.5990987
DEBUG 2024-09-07 20:45:08,577 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/requests/adapters.py first seen with mtime 1723270972.6945057
DEBUG 2024-09-07 20:45:08,577 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/sqlparse/filters/tokens.py first seen with mtime 1721970292.40532
DEBUG 2024-09-07 20:45:08,577 autoreload File /usr/lib/python3.12/email/_parseaddr.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,577 autoreload File /usr/lib/python3.12/asyncio/futures.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,578 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/db/models/functions/datetime.py first seen with mtime 1721970293.6490896
DEBUG 2024-09-07 20:45:08,578 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/psycopg2/_psycopg.cpython-312-x86_64-linux-gnu.so first seen with mtime 1721993886.5795035
DEBUG 2024-09-07 20:45:08,578 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/sqlparse/engine/__init__.py first seen with mtime 1721970292.4013205
DEBUG 2024-09-07 20:45:08,578 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/sqlparse/keywords.py first seen with mtime 1721970292.3993208
DEBUG 2024-09-07 20:45:08,578 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/contrib/admin/checks.py first seen with mtime 1721970292.7092636
